-141.36,-20.99
-47.52,-23.32
-50.65,-23.12
-3.27,-19.21
-87.29,-19.61
-95.49,-22.28
-80.22,-26.43
30.06,-26.09
-48.65,-28.60
-46.56,-30.15
-48.70,-30.68
-40.20,-29.59
68.93,-22.55
-100.30,-25.30
-109.64,-28.88
94.20,-24.55
-56.12,-30.09
-134.13,-39.85
-134.13,-46.34
-47.99,-44.09
76.45,-33.88
-134.12,-35.63
-128.86,-41.68
82.97,-39.71
-39.56,-43.05
-134.13,-48.68
-134.13,-53.24
-41.73,-50.97
24.35,-44.68
-119.58,-47.61
-126.63,-52.19
93.31,-46.90
-34.55,-49.03
-134.13,-56.20
-134.13,-62.81
-136.63,-66.94
4.94,-61.20
-115.76,-61.53
-133.16,-65.78
101.51,-61.03
-18.63,-62.83
-134.13,-68.91
-134.13,-73.58
-44.67,-71.35
-29.64,-67.34
82.90,-57.70
-123.64,-59.96
-117.14,-64.26
64.40,-61.42
-41.30,-63.76
-134.13,-70.32
-134.13,-74.61
-43.89,-71.99
1.04,-66.02
-109.82,-66.64
-125.38,-70.38
96.89,-64.46
4.98,-63.21
-41.59,-63.45
-134.13,-67.85
-134.16,-71.39
-35.77,-68.82
45.22,-61.74
-116.74,-63.20
-120.00,-66.67
83.83,-61.31
-25.30,-61.49
-136.67,-67.13
-134.13,-71.66
-39.87,-70.19
-29.26,-67.12
69.19,-58.66
-117.93,-60.30
-118.78,-63.45
84.77,-57.53
-24.92,-58.23
-45.60,-59.13
-134.13,-64.72
-135.94,-68.44
-34.47,-65.25
37.96,-58.18
-100.85,-58.47
-123.18,-58.95
116.60,-47.75
49.04,-43.59
-35.96,-45.04
-134.13,-51.23
-134.28,-53.62
-34.36,-47.61
53.10,-37.75
-132.33,-42.32
-127.05,-49.29
77.36,-45.37
19.38,-44.81
-15.05,-45.38
-134.13,-48.91
-137.65,-53.81
-40.47,-53.20
-91.23,-54.21
159.88,-44.47
111.22,-41.15
-73.52,-48.22
-47.79,-53.57
151.33,-44.12
-25.57,-38.40
-41.07,-34.00
-50.25,-33.44
-58.21,-34.71
-60.47,-36.98
-62.37,-39.61
-11.05,-39.57
40.44,-36.19
-44.96,-38.71
-45.15,-40.02
-62.31,-38.57
77.01,-28.37
58.02,-21.73
-63.58,-25.20
-45.50,-28.44
-39.46,-33.46
-49.93,-31.85
-47.50,-27.10
-5.02,-20.31
79.91,-12.35
92.93,-5.63
72.08,-0.98
50.34,3.40
40.56,6.55
16.31,7.60
7.57,7.86
22.34,8.02
25.00,8.55
24.79,9.55
33.66,10.81
43.18,11.96
29.21,12.54
-169.99,5.18
-30.26,3.69
