0022,0.9609,-3.6260,-0.9313,-1.5115
0.1204,0.0015,0.9578,-3.7939,-1.1145,-1.6260
0.1230,-0.0007,0.9438,-3.6489,-1.1908,-1.4885
0.1155,0.0002,0.9556,-3.5649,-0.8168,-1.5802
0.1218,-0.0020,0.9495,-3.8473,-1.1603,-1.4427
0.1177,0.0066,0.9429,-3.7710,-1.1985,-1.4427
0.1245,0.0071,0.9602,-3.8244,-1.5802,-1.6870
0.1189,0.0051,0.9617,-3.7634,-1.2443,-1.5725
0.1194,0.0039,0.9558,-3.7557,-1.1221,-1.6565
0.1206,0.0000,0.9595,-3.7023,-0.9237,-1.5725
0.1196,0.0039,0.9497,-3.6336,-1.2366,-1.6794
0.1174,0.0029,0.9607,-3.6336,-0.9924,-1.5191
0.1233,0.0015,0.9558,-3.8168,-1.1985,-1.5954
0.1208,0.0056,0.9556,-3.7939,-1.0382,-1.5802
0.1233,0.0010,0.9487,-3.7557,-0.9771,-1.4962
0.1174,0.0000,0.9536,-3.6489,-1.0000,-1.5725
0.1174,0.0000,0.9478,-3.6794,-0.9771,-1.7023
0.1204,0.0068,0.9663,-3.7786,-1.2595,-1.6183
0.1125,0.0056,0.9460,-3.8626,-1.0992,-1.5420
0.1118,0.0066,0.9692,-3.7405,-1.4656,-1.5725
0.1199,0.0034,0.9419,-3.8244,-1.2061,-1.5954
0.1172,0.0059,0.9526,-3.7328,-0.8168,-1.4885
0.1128,0.0037,0.9614,-3.6718,-1.1069,-1.4885
0.1177,0.0068,0.9583,-3.7863,-1.2672,-1.5420
0.1177,-0.0032,0.9556,-3.8168,-1.2290,-1.4580
0.1223,0.0024,0.9580,-3.6260,-1.1679,-1.7557
0.1218,-0.0029,0.9497,-3.8473,-1.1603,-1.6794
0.1191,0.0015,0.9587,-3.8550,-0.9695,-1.5573
0.1167,0.0066,0.9512,-3.7710,-1.2137,-1.5649
0.1128,0.0059,0.9543,-3.5954,-1.1298,-1.6031
0.1155,0.0007,0.9543,-3.7099,-0.9466,-1.6107
0.1162,0.0061,0.9673,-3.9160,-0.8550,-1.2672
0.1228,0.0022,0.9541,-3.9237,-0.8244,-1.5420
0.1199,0.0056,0.9460,-3.7710,-1.0382,-1.6565
0.1130,0.0063,0.9536,-3.7939,-1.0534,-1.6641
0.1160,0.0037,0.9602,-3.9618,-1.4656,-1.4275
0.1133,0.0007,0.9565,-3.8244,-0.8550,-1.4885
0.1230,0.0042,0.9568,-3.9771,-0.9847,-1.6183
0.1196,0.0066,0.9443,-3.8473,-0.8779,-1.5954
0.1184,0.0061,0.9490,-3.7481,-0.9542,-1.6412
0.1152,0.0015,0.9526,-3.7252,-1.0382,-1.4885
0.1169,-0.0020,0.9531,-3.7863,-0.9924,-1.5725
0.1189,0.0049,0.9583,-3.6183,-1.2137,-1.4733
0.1223,0.0093,0.9568,-3.8092,-1.0382,-1.6641
0.1143,0.0100,0.9656,-3.7252,-1.1985,-1.3664
0.1165,0.0083,0.9597,-3.7099,-1.2901,-1.5115
0.1191,0.0032,0.9512,-3.5115,-1.6183,-1.6412
0.1150,0.0017,0.9653,-3.6489,-1.1603,-1.6336
0.1208,0.0093,0.9487,-4.0076,-1.3817,-1.5420
0.1160,0.0020,0.9570,-3.6107,-1.1145,-1.7786
0.1191,0.0088,0.9558,-3.7023,-1.0458,-1.5267
0.1116,0.0012,0.9548,-3.7405,-1.2290,-1.4885
0.1208,-0.0002,0.9502,-3.9237,-1.3053,-1.4198
0.1123,0.0068,0.9558,-3.8168,-1.2519,-1.6107
0.1226,0.0046,0.9500,-3.7328,-1.0611,-1.4122
0.1133,0.0115,0.9583,-3.8702,-1.2137,-1.4580
0.1199,0.0015,0.9575,-3.7557,-1.2290,-1.5573
0.1206,0.0105,0.9500,-3.6336,-1.0763,-1.4733
0.1145,0.0042,0.9470,-3.7405,-1.0382,-1.3740
0.1199,0.0037,0.9592,-3.8168,-1.3817,-1.4046
0.1230,0.0083,0.9607,-3.8015,-1.2061,-1.5802
0.1228,0.0015,0.9531,-3.8244,-1.1527,-1.6031
0.1189,0.0022,0.9468,-3.8015,-1.1679,-1.6183
0.1174,0.0007,0.9558,-3.7328,-1.2214,-1.4351
0.1116,0.0034,0.9565,-3.6412,-1.2366,-1.2214
0.1255,0.0105,0.9534,-3.6412,-1.1756,-1.5573
0.1221,0.0039,0.9666,-3.8092,-0.9542,-1.5115
0.1172,0.0049,0.9463,-3.6260,-1.0611,-1.5725
0.1206,0.0090,0.9497,-3.9160,-1.2977,-1.5496
0.1147,0.0090,0.9575,-3.8931,-0.9771,-1.6107
