4,-201
1420,-60,15628,-468,-148,-226
1276,-100,15636,-465,-108,-204
1288,-44,15680,-476,-95,-213
1316,-224,15804,-466,-127,-228
1396,-144,15760,-456,-149,-195
1316,-96,15640,-471,-153,-197
1380,-124,15612,-494,-147,-185
1320,-20,15528,-488,-155,-223
1272,-48,15604,-481,-118,-204
1372,-100,15684,-476,-135,-208
1304,-124,15628,-495,-172,-229
1216,-120,15664,-469,-124,-189
1308,-100,15692,-478,-138,-198
1300,-100,15760,-483,-130,-194
1336,-36,15612,-463,-185,-211
1352,-140,15716,-473,-148,-201
1460,-32,15712,-489,-122,-198
1380,-192,15608,-492,-141,-206
1236,-208,15664,-480,-147,-225
1276,-184,15704,-468,-139,-221
1380,-64,15696,-493,-120,-236
1364,-52,15696,-468,-128,-211
1356,-96,15656,-487,-144,-200
1236,-108,15708,-501,-153,-220
1348,-164,15560,-471,-147,-199
1332,-104,15656,-442,-122,-222
1368,-108,15716,-495,-142,-211
1380,-60,15608,-505,-108,-202
1368,-48,15780,-500,-131,-187
1448,-164,15668,-505,-120,-225
1256,-120,15724,-482,-128,-209
1352,-176,15792,-474,-154,-177
1416,-44,15684,-483,-131,-185
1384,-108,15756,-488,-126,-217
1284,-204,15664,-471,-147,-207
1412,-76,15660,-500,-137,-226
1364,-44,15480,-502,-125,-199
1336,-124,15676,-469,-158,-218
1348,-24,15672,-483,-125,-181
1360,-104,15656,-481,-134,-203
1284,-188,15732,-498,-125,-202
1388,-140,15616,-483,-144,-222
1440,-24,15676,-480,-136,-191
1296,-200,15624,-466,-141,-209
1308,-108,15708,-465,-142,-218
1392,-148,15568,-494,-164,-216
1344,-164,15708,-480,-152,-228
1308,-40,15512,-501,-96,-228
1316,-4,15732,-475,-142,-212
1428,-152,15588,-454,-130,-207
1180,-128,15720,-468,-144,-212
1312,-72,15656,-496,-136,-197
1372,-180,15796,-485,-132,-220
1340,-76,15672,-474,-144,-202
1264,-140,15552,-464,-163,-184
1228,-156,15532,-478,-136,-210
1228,-160,15704,-477,-125,-191
1420,-40,15404,-477,-145,-222
1336,-120,15568,-484,-154,-208
1288,-124,15772,-489,-140,-211
1440,-108,15656,-471,-126,-222
1316,-80,15548,-477,-154,-209
1304,-232,15664,-478,-138,-201
1224,-112,15796,-483,-142,-208
1380,-44,15684,-467,-145,-210
1408,-116,15752,-468,-145,-203
1400,-160,15512,-508,-113,-199
1308,-184,15600,-480,-138,-229
1440,-180,15592,-472,-115,-197
1268,-140,15680,-485,-118,-209
1260,-60,15688,-488,-127,-217
1284,-160,15732,-490,-110,-228
1388,-136,15696,-485,-149,-229
1420,-92,15672,-475,-150,-210
1388,-48,15568,-494,-116,-201
1280,-204,15640,-484,-131,-210
1284,-200,15752,-479,-132,-197
1364,-48,15620,-476,-124,-189
1340,-164,15576,-505,-133,-212
1484,-152,15692,-454,-122,-206
1324,-116,15784,-474,-136,-210
1252,-124,15600,-479,-111,-220
1376,-148,15580,-469,-146,-193
1368,-180,15680,-464,-142,-212
1228,-124,15704,-486,-140,-213
1480,-84,15656,-479,-128,-203
1324,-84,15664,-458,-143,-224
1284,-132,15600,-489,-133,-227
1312,-60,15712,-484,-128,-218
1372,-140,15676,-472,-146,-211
1304,-88,15608,-447,-141,-203
1300,-124,15716,-473,-149,-207
1312,-72,15852,-486,-131,-220
1320,-148,15520,-479,-130,-203
1384,-128,15708,-472,-140,-191
1392,-84,15632,-473,-144,-218
1248,-92,15724,-473,-106,-201
1248,-68,15648,-485,-133,-184
1340,-56,15624,-457,-152,-193
1344,-40,15548,-489,-141,-174
1380,-128,15664,-479,-118,-199
1328,-132,15576,-487,-109,-217
1372,-92,15744,-439,-111,-201
1364,-148,15492,-494,-80,-205
1440,-212,16260,-488,-51,-237
1092,348,16064,-414,-279,-137
1116,-176,15496,-518,-146,-206
1508,-236,15116,-550,-65,-249
1720,-408,16100,-396,-127,-168
1100,-44,15348,-427,-141,-214
1160,256,15788,-487,-64,-223
1300,-52,16176,-511,-159,-211
1480,-248,15196,-432,-187,-218
1500,-168,15496,-488,-65,-194
1192,-108,16072,-448,-74,-197
1180,20,15696,-450,-117,-218
1064,-180,15596,-524,-158,-229
1348,-200,15808,-491,-148,-203
1432,-236,15480,-424,-145,-205
1308,-44,15760,-447,-88,-210
